biophp	0.860000	0.000000	0.000000	0.200000	1.000000	1.000000
rci	0.860000	0.000000	0.000000	0.000000	1.000000	1.000000
meigor	1.000000	0.610000	0.300000	0.200000	3.000000	2.000000
pcdb	0.860000	0.120000	0.000000	0.200000	1.000000	1.000000
gaml	0.860000	0.120000	0.000000	0.200000	1.000000	1.000000
qseq2fastq	0.880000	0.060000	0.000000	0.000000	1.000000	1.000000
profit	0.920000	0.530000	0.000000	0.500000	1.000000	1.000000
motifmatchr	1.000000	0.750000	0.300000	0.200000	3.000000	2.000000
ngscopy	1.000000	0.610000	0.300000	0.200000	2.000000	2.000000
ritan	1.000000	0.750000	0.300000	0.200000	2.000000	1.000000
rnaalifoldws	0.860000	0.000000	0.000000	0.200000	1.000000	1.000000
frogs_affiliations_stat-ip	0.940000	0.120000	0.120000	0.200000	1.000000	1.000000
scorecons	0.860000	0.120000	0.000000	0.500000	1.000000	1.000000
tximport	1.000000	0.750000	0.300000	0.200000	3.000000	2.000000
confess	1.000000	0.610000	0.300000	0.200000	2.000000	2.000000
hca-vision	0.940000	0.000000	0.000000	0.000000	1.000000	1.000000
mbamethyl	1.000000	0.610000	0.300000	0.200000	3.000000	2.000000
cntools	1.000000	0.610000	0.300000	0.200000	3.000000	2.000000
lol	1.000000	0.610000	0.300000	0.200000	3.000000	2.000000
masshunter_file_reader	0.800000	0.120000	0.000000	0.000000	1.000000	1.000000
mpiutils	0.800000	0.120000	0.000000	0.200000	1.000000	1.000000
imot	0.860000	0.120000	0.000000	0.200000	1.000000	1.000000
mybs	0.860000	0.120000	0.000000	0.200000	1.000000	1.000000
align-paths	0.940000	0.000000	0.000000	0.200000	1.000000	1.000000
limani	0.860000	0.120000	0.120000	0.200000	1.000000	1.000000
modfold4	0.860000	0.120000	0.000000	0.200000	1.000000	1.000000
idba	0.940000	0.490000	0.200000	0.000000	2.000000	1.000000
condor	0.940000	0.120000	0.000000	0.200000	1.000000	2.000000
biojs-rest-ensembl	0.940000	0.120000	0.000000	0.200000	1.000000	1.000000
lncident	0.860000	0.260000	0.000000	0.200000	1.000000	1.000000
shinysispa	0.920000	0.060000	0.000000	0.200000	1.000000	2.000000
ontocat	0.940000	0.610000	0.000000	0.200000	1.000000	2.000000
optflux	0.860000	0.120000	0.000000	0.200000	1.000000	1.000000
metaneighbor	1.000000	0.750000	0.300000	0.200000	2.000000	1.000000
